Symbol,NAME OF COMPANY,ListingDate
PAGEIND,Page Industries Limited,2007-03-16
PAISALO,Paisalo Digital Limited,2011-10-17
PAKKA,PAKKA LIMITED,2023-07-11
PALASHSECU,Palash Securities Limited,2017-07-28
PALREDTEC,Palred Technologies Limited,2016-05-09
PANACEABIO,Panacea Biotec Limited,1996-04-17
PANACHE,Panache Digilife Limited,2020-01-06
PANAMAPET,Panama Petrochem Limited,2011-09-30
PANSARI,Pansari Developers Limited,2021-10-18
PAR,Par Drugs And Chemicals Limited,2021-09-16
PARACABLES,Paramount Communications Limited,2007-01-03
PARADEEP,Paradeep Phosphates Limited,2022-05-27
PARAGMILK,Parag Milk Foods Limited,2016-05-19
PARAS,Paras Defence and Space Technologies Limited,2021-10-01
PARASPETRO,Paras Petrofils Limited,1996-02-14
PARKHOSPS,Park Medi World Limited,2025-12-17
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,2024-02-12
PARSVNATH,Parsvnath Developers Limited,2006-11-30
PASHUPATI,Pashupati Cotspin Limited,2025-07-17
PASUPTAC,Pasupati Acrylon Limited,2021-10-12
PATANJALI,Patanjali Foods Limited,2020-01-24
PATELENG,Patel Engineering Limited,2005-02-24
PATELRMART,Patel Retail Limited,2025-08-26
PATINTLOG,Patel Integrated Logistics Limited,2008-01-11
PAUSHAKLTD,Paushak Limited,2025-12-01
PAVNAIND,Pavna Industries Limited,2023-06-01
PAYTM,One 97 Communications Limited,2021-11-18
PCBL,PCBL Chemical Limited,1995-03-29
PCJEWELLER,PC Jeweller Limited,2012-12-27
PDMJEPAPER,Pudumjee Paper Products Limited,2016-03-30
PDSL,PDS Limited,2014-10-21
PEARLPOLY,Pearl Polymers Limited,1995-10-11
PENIND,Pennar Industries Limited,2010-11-25
PENINLAND,Peninsula Land Limited,1995-02-08
PERSISTENT,Persistent Systems Limited,2010-04-06
PETRONET,Petronet LNG Limited,2004-03-26
PFC,Power Finance Corporation Limited,2007-02-23
PFIZER,Pfizer Limited,1999-04-28
PFOCUS,Prime Focus Limited,2006-06-20
PFS,PTC India Financial Services Limited,2011-03-30
PGEL,PG Electroplast Limited,2011-09-26
PGHH,Procter & Gamble Hygiene and Health Care Limited,2004-07-07
PGHL,Procter & Gamble Health Limited,1996-04-24
PGIL,Pearl Global Industries Limited,2007-02-15
PHOENIXLTD,The Phoenix Mills Limited,2007-04-23
PICCADIL,Piccadily Agro Industries Limited,2025-07-02
PIDILITIND,Pidilite Industries Limited,1995-03-29
PIGL,Power & Instrumentation (Gujarat) Limited,2023-05-17
PIIND,PI Industries Limited,2011-06-15
PILANIINVS,Pilani Investment and Industries Corporation Limited,2015-12-08
PILITA,PIL ITALICA LIFESTYLE LIMITED,2013-10-07
PINELABS,Pine Labs Limited,2025-11-14
PIONEEREMB,Pioneer Embroideries Limited,2006-05-16
PIONRINV,Pioneer Investcorp Limited,2026-04-20
PIRAMALFIN,Piramal Finance Limited,2025-11-07
PITTIENG,Pitti Engineering Limited,2007-02-02
PIXTRANS,Pix Transmissions Limited,2022-04-28
PKTEA,The Peria Karamalai Tea & Produce Company Limited,2015-08-19
PLASTIBLEN,Plastiblends India Limited,2006-12-28
PLATIND,Platinum Industries Limited,2024-03-05
PLAZACABLE,Plaza Wires Limited,2023-10-12
PML,Paul Merchants Limited,2026-04-20
PNB,Punjab National Bank,2002-04-24
PNBGILTS,PNB Gilts Limited,2000-09-18
PNBHOUSING,PNB Housing Finance Limited,2016-11-07
PNC,Pritish Nandy Communications Limited,2000-12-11
PNCINFRA,PNC Infratech Limited,2015-05-26
PNGJL,P N Gadgil Jewellers Limited,2024-09-17
PNGSREVA,PNGS Reva Diamond Jewellery Limited,2026-03-04
POCL,Pondy Oxides & Chemicals Limited,2023-03-06
PODDARMENT,Poddar Pigments Limited,2016-11-22
POKARNA,Pokarna Limited,2016-07-07
POLICYBZR,PB Fintech Limited,2021-11-15
POLYCAB,Polycab India Limited,2019-04-16
POLYMED,Poly Medicure Limited,2011-12-07
POLYPLEX,Polyplex Corporation Limited,2003-04-11
PONNIERODE,Ponni Sugars (Erode) Limited,2002-04-16
POONAWALLA,Poonawalla Fincorp Limited,2004-04-27
POWERGRID,Power Grid Corporation of India Limited,2007-10-05
POWERICA,Powerica Limited,2026-04-02
POWERINDIA,Hitachi Energy India Limited,2020-03-30
POWERMECH,Power Mech Projects Limited,2015-08-26
PPAP,PPAP Automotive Limited,2008-01-11
PPL,Prakash Pipes Limited,2019-06-14
PPLPHARMA,Piramal Pharma Limited,2022-10-19
PRABHA,Prabha Energy Limited,2025-03-19
PRADPME,Pradeep Metals Limited,2026-04-20
PRAENG,Prajay Engineers Syndicate Limited,2007-01-02
PRAJIND,Praj Industries Limited,1995-10-11
PRAKASH,Prakash Industries Limited,1995-05-10
PRAKASHSTL,Prakash Steelage Limited,2010-08-25
PRAVEG,Praveg Limited,2026-04-20
PRAXIS,Praxis Home Retail Limited,2018-01-31
PRECAM,Precision Camshafts Limited,2016-02-08
PRECOT,Precot Limited,2005-08-19
PRECWIRE,Precision Wires India Limited,1995-09-06
PREMCO,Premco Global Limited,2026-04-20
PREMEXPLN,Premier Explosives Limited,2016-06-17
PREMIER,Premier Limited,1996-04-03
PREMIERENE,Premier Energies Limited,2024-09-03
PREMIERPOL,Premier Polyfilm Limited,1995-12-13
PRESTIGE,Prestige Estates Projects Limited,2010-10-27
PRICOLLTD,Pricol Limited,2017-02-10
PRIMESECU,Prime Securities Limited,2005-06-17
PRIMO,Primo Chemicals Limited,2025-04-22
PRINCEPIPE,Prince Pipes And Fittings Limited,2019-12-30
PRITI,Priti International Limited,2022-03-02
PRITIKAUTO,Pritika Auto Industries Limited,2021-08-10
PRIVISCL,Privi Speciality Chemicals Limited,2015-05-08
PROSTARM,Prostarm Info Systems Limited,2025-06-03
PROTEAN,Protean eGov Technologies Limited,2025-02-06
PROZONER,Prozone Realty Limited,2012-09-12
PRSMJOHNSN,Prism Johnson Limited,2003-08-20
PRUDENT,Prudent Corporate Advisory Services Limited,2022-05-20
PRUDMOULI,Prudential Sugar Corporation Limited,1995-05-10
PSB,Punjab & Sind Bank,2010-12-30
PSPPROJECT,PSP Projects Limited,2017-05-29
PTC,PTC India Limited,2004-04-07
PTCIL,PTC Industries Limited,2023-06-09
PTL,PTL Enterprises Limited,2007-01-29
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,2007-03-08
PURVA,Puravankara Limited,2007-08-30
PVP,PVP Ventures Limited,1996-04-03
PVRINOX,PVR INOX Limited,2006-01-04
PVSL,Popular Vehicles and Services Limited,2024-03-19
PWL,Physicswallah Limited,2025-11-18
PYRAMID,Pyramid Technoplast Limited,2023-08-29
QMSMEDI,QMS Medical Allied Services Limited,2026-06-18
QPOWER,Quality Power Electrical Equipments Limited,2025-02-24
QUADFUTURE,Quadrant Future Tek Limited,2025-01-14
QUESS,Quess Corp Limited,2016-07-12
QUICKHEAL,Quick Heal Technologies Limited,2016-02-18
QUINT,Quint Digital Limited,2026-04-20
RACE,Race Eco Chain Limited,2023-05-09
RACLGEAR,RACL Geartech Limited,2024-11-27
RADAAN,Radaan Mediaworks India Limited,2003-02-27
RADHIKAJWE,Radhika Jeweltech Limited,2022-07-18
RADIANTCMS,Radiant Cash Management Services Limited,2023-01-04
RADICO,Radico Khaitan Limited,2003-06-18
RADIOCITY,Music Broadcast Limited,2017-03-17
RAILTEL,Railtel Corporation Of India Limited,2021-02-26
RAIN,Rain Industries Limited,2008-03-03
RAINBOW,Rainbow Childrens Medicare Limited,2022-05-10
RAJESHEXPO,Rajesh Exports Limited,2000-02-09
RAJMET,Rajnandini Metal Limited,2021-02-16
RAJOOENG,Rajoo Engineers Limited,2025-05-29
RAJPALAYAM,Rajapalayam Mills Limited,2026-04-20
RAJRATAN,Rajratan Global Wire Limited,2020-05-22
RAJRILTD,Raj Rayon Industries Limited,2022-03-16
RAJSREESUG,Rajshree Sugars & Chemicals Limited,1995-03-29
RAJTV,Raj Television Network Limited,2007-03-16
RALLIS,Rallis India Limited,1999-04-01
RAMANEWS,Shree Rama Newsprint Limited,2006-09-20
RAMAPHO,Rama Phosphates Limited,2022-08-05
RAMASTEEL,Rama Steel Tubes Limited,2015-08-19
RAMCOCEM,The Ramco Cements Limited,1997-04-09
RAMCOIND,Ramco Industries Limited,1996-11-06
RAMCOSYS,Ramco Systems Limited,2000-04-12
RAMKY,Ramky Infrastructure Limited,2010-10-08
RAMRAT,Ram Ratna Wires Limited,2022-07-29
RANASUG,Rana Sugars Limited,2005-02-24
RANEHOLDIN,Rane Holdings Limited,1997-09-24
RATEGAIN,Rategain Travel Technologies Limited,2021-12-17
RATNAMANI,Ratnamani Metals & Tubes Limited,2006-05-09
RATNAVEER,Ratnaveer Precision Engineering Limited,2023-09-11
RAYMOND,Raymond Limited,1995-10-18
RAYMONDLSL,Raymond Lifestyle Limited,2024-09-05
RAYMONDREL,Raymond Realty Limited,2025-07-01
RBA,Restaurant Brands Asia Limited,2020-12-14
RBLBANK,RBL Bank Limited,2016-08-31
RBZJEWEL,RBZ Jewellers Limited,2023-12-27
RCF,Rashtriya Chemicals and Fertilizers Limited,1998-01-07
RCOM,Reliance Communications Limited,2006-03-06
RECLTD,REC Limited,2008-03-12
REDINGTON,Redington Limited,2007-02-15
REDTAPE,Redtape Limited,2023-08-11
REFEX,Refex Industries Limited,2009-12-03
REGAAL,Regaal Resources Limited,2025-08-20
REGENCERAM,Regency Ceramics Limited,1996-06-05
RELAXO,Relaxo Footwears Limited,2011-06-17
RELCHEMQ,Reliance Chemotex Industries Limited,2022-05-25
RELIABLE,Reliable Data Services Limited,2024-07-10
RELIANCE,Reliance Industries Limited,1995-11-29
RELIGARE,Religare Enterprises Limited,2007-11-21
RELTD,Ravindra Energy Limited,2024-07-30
REMSONSIND,Remsons Industries Limited,1996-01-31
RENUKA,Shree Renuka Sugars Limited,2005-10-31
REPCOHOME,Repco Home Finance Limited,2013-04-01
REPL,Rudrabhishek Enterprises Limited,2020-12-14
REPRO,Repro India Limited,2005-12-22
RESPONIND,Responsive Industries Limited,2010-10-29
RETAIL,JHS Svendgaard Retail Ventures Limited,2024-06-26
RGL,Renaissance Global Limited,2007-12-12
RHETAN,Rhetan TMT Limited,2025-09-26
RHFL,Reliance Home Finance Limited,2017-09-22
RHIM,RHI MAGNESITA INDIA LIMITED,2012-03-12
RHL,Robust Hotels Limited,2023-04-25
RICOAUTO,Rico Auto Industries Limited,2003-05-12
RIIL,Reliance Industrial Infrastructure Limited,1995-11-29
RISHABH,Rishabh Instruments Limited,2023-09-11
RITCO,Ritco Logistics Limited,2022-04-12
RITES,RITES Limited,2018-07-02
RKDL,Ravi Kumar Distilleries Limited,2010-12-27
RKEC,RKEC Projects Limited,2020-12-18
RKFORGE,Ramkrishna Forgings Limited,2004-05-05
RKSWAMY,R K Swamy Limited,2024-03-12
RMC,RMC Switchgears Limited,2026-04-01
RMDRIP,R M Drip and Sprinklers Systems Limited,2025-07-30
RML,Rane (Madras) Limited,2005-08-30
RNBDENIMS,R&B Denims Limited,2025-09-04
ROHLTD,Royal Orchid Hotels Limited,2006-02-06
ROLEXRINGS,Rolex Rings Limited,2021-08-09
ROLLT,Rollatainers Limited,2016-11-22
ROML,Raj Oil Mills Limited,2020-10-06
ROSSARI,Rossari Biotech Limited,2020-07-23
ROSSELLIND,Rossell India Limited,2012-09-25
ROSSTECH,Rossell Techsys Limited,2024-12-09
ROTO,Roto Pumps Limited,2022-04-21
ROUTE,ROUTE MOBILE LIMITED,2020-09-21
RPEL,Raghav Productivity Enhancers Limited,2024-08-08
RPGLIFE,RPG Life Sciences Limited,2008-06-10
RPOWER,Reliance Power Limited,2008-02-11
RPPINFRA,R.P.P. Infra Projects Limited,2010-12-06
RPPL,Rajshree Polypack Limited,2021-11-26
RPSGVENT,RPSG VENTURES LIMITED,2019-01-25
RPTECH,Rashi Peripherals Limited,2024-02-14
RRIL,RRIL Limited,2026-04-20
RRKABEL,R R Kabel Limited,2023-09-20
RSDFIN,RSD Finance Limited,2026-04-20
RSL,Rajputana Stainless Limited,2026-03-19
RSSOFTWARE,R. S. Software (India) Limited,1999-05-19
RSWM,RSWM Limited,1995-02-15
RSYSTEMS,R Systems International Limited,2006-04-26
RTNINDIA,RattanIndia Enterprises Limited,2012-07-30
RTNPOWER,RattanIndia Power Limited,2009-10-30
RUBFILA,Rubfila International Limited,2024-08-08
RUBICON,Rubicon Research Limited,2025-10-16
RUBYMILLS,The Ruby Mills Limited,1995-03-29
RUCHINFRA,Ruchi Infrastructure Limited,1996-10-16
RUCHIRA,Ruchira Papers Limited,2006-12-20
RUDRA,Rudra Global Infra Products Limited,2025-12-19
RUPA,Rupa & Company Limited,2011-12-07
RUSHIL,Rushil Decor Limited,2011-07-07
RUSTOMJEE,Keystone Realtors Limited,2022-11-24
RVHL,Ravinder Heights Limited,2020-12-18
RVNL,Rail Vikas Nigam Limited,2019-04-11
RVTH,Revathi Equipment India Limited,2024-09-11
S&SPOWER,S&S Power Switchgears Limited,1995-09-27
SAATVIKGL,Saatvik Green Energy Limited,2025-09-26
SABEVENTS,Sab Events & Governance Now Media Limited,2016-09-15
SADBHAV,Sadbhav Engineering Limited,2006-03-01
SADBHIN,Sadbhav Infrastructure Project Limited,2015-09-16
SADHNANIQ,Sadhana Nitrochem Limited,2023-05-05
SAFARI,Safari Industries (India) Limited,2019-09-12
SAGARDEEP,Sagardeep Alloys Limited,2019-01-25
SAGCEM,Sagar Cements Limited,2007-01-29
SAGILITY,SAGILITY LIMITED,2024-11-12
SAHLIBHFI,Shalibhadra Finance Limited,2026-04-10
SAHYADRI,Sahyadri Industries Limited,2023-04-06
SAIL,Steel Authority of India Limited,1995-07-06
SAILIFE,Sai Life Sciences Limited,2024-12-18
SAIPARENT,Sai Parenterals Limited,2026-04-02
SAKAR,Sakar Healthcare Limited,2019-04-11
SAKHTISUG,Sakthi Sugars Limited,1995-09-06
SAKSOFT,Saksoft Limited,2005-05-09
SAKUMA,Sakuma Exports Limited,2006-03-08
SALASAR,Salasar Techno Engineering Limited,2017-07-25
SALONA,Salona Cotspin Limited,2016-06-16
SALSTEEL,S.A.L. Steel Limited,2004-11-24
SALZERELEC,Salzer Electronics Limited,2015-12-02
SAMBHAAV,Sambhaav Media Limited,1996-06-05
SAMBHV,Sambhv Steel Tubes Limited,2025-07-02
SAMHI,Samhi Hotels Limited,2023-09-22
SAMMAANCAP,Sammaan Capital Limited,2013-07-23
SAMPANN,Sampann Utpadan India Limited,2012-07-27
SANATHAN,Sanathan Textiles Limited,2024-12-27
SANDESH,The Sandesh Limited,2002-11-26
SANDHAR,Sandhar Technologies Limited,2018-04-02
SANDUMA,Sandur Manganese & Iron Ores Limited,2023-09-07
SANGAMIND,Sangam (India) Limited,1996-07-17
SANGHVIMOV,Sanghvi Movers Limited,2007-01-24
SANGINITA,Sanginita Chemicals Limited,2019-07-15
SANOFI,Sanofi India Limited,2003-05-19
SANOFICONR,Sanofi Consumer Healthcare India Limited,2024-09-13
SANSERA,Sansera Engineering Limited,2021-09-24
SANSTAR,Sanstar Limited,2024-07-26
SANWARIA,Sanwaria Consumer Limited,2006-03-27
SAPPHIRE,Sapphire Foods India Limited,2021-11-18
SAPPL,Shree Ajit Pulp & Paper Limited,2026-04-20
SARDAEN,Sarda Energy & Minerals Limited,2009-12-03
SAREGAMA,Saregama India Limited,1997-07-30
SARLAPOLY,Sarla Performance Fibers Limited,2007-01-19
SARVESHWAR,Sarveshwar Foods Limited,2022-12-08
SASKEN,Sasken Technologies Limited,2005-09-09
SATIA,Satia Industries Limited,2019-07-17
SATIN,Satin Creditcare Network Limited,2015-08-26
SAURASHCEM,Saurashtra Cement Limited,2024-02-27
SAYAJIHOTL,Sayaji Hotels Limited,2026-04-20
SBC,SBC Exports Limited,2021-11-23
SBCL,Shivalik Bimetal Controls Limited,2021-06-24
SBFC,SBFC Finance Limited,2023-08-16
SBGLP,Suratwwala Business Group Limited,2023-02-10
SBICARD,SBI Cards and Payment Services Limited,2020-03-16
SBILIFE,SBI Life Insurance Company Limited,2017-10-03
SBIN,State Bank of India,1995-03-01
SCANSTL,Scan Steels Limited,2026-04-20
SCHAEFFLER,Schaeffler India Limited,2000-11-29
SCHAND,S Chand And Company Limited,2017-05-09
SCHNEIDER,Schneider Electric Infrastructure Limited,2012-03-20
SCI,Shipping Corporation Of India Limited,1997-08-13
SCILAL,Shipping Corporation of India Land and Assets Limited,2024-03-19
SCODATUBES,Scoda Tubes Limited,2025-06-04
SCPL,Sheetal Cool Products Limited,2022-11-22
SDBL,Som Distilleries & Breweries Limited,2014-03-18
SEAMECLTD,Seamec Limited,1995-06-28
SECMARK,SecMark Consultancy Limited,2023-10-16
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,2014-01-29
SEDEMAC,SEDEMAC Mechatronics Limited,2026-03-11
SEIL,Shanti Educational Initiatives Limited,2026-04-20
SEJALLTD,Sejal Glass Limited,2021-12-13
SELMC,SEL Manufacturing Company Limited,2021-10-26
SEMAC,Semac Construction Limited,2005-08-11
SENCO,Senco Gold Limited,2023-07-14
SENORES,Senores Pharmaceuticals Limited,2024-12-30
SEPC,SEPC Limited,2008-02-20
SERVOTECH,Servotech Renewable Power System Limited,2021-09-02
SESHAPAPER,Seshasayee Paper and Boards Limited,1995-03-29
SETCO,Setco Automotive Limited,2016-07-01
SETL,Standard Engineering Technology Limited,2025-01-13
SETUINFRA,Setubandhan Infrastructure Limited,2011-10-04
SEYAIND,Seya Industries Limited,2019-07-11
SFL,Sheela Foam Limited,2016-12-09
SGFIN,SG Finserve Limited,2025-08-05
SGIL,Synergy Green Industries Limited,2021-07-28
SGL,STL Global Limited,2006-04-10
SGMART,SG Mart Limited,2025-09-12
SHADOWFAX,Shadowfax Technologies Limited,2026-01-28
SHAH,Shah Metacorp Limited,2010-10-27
SHAHALLOYS,Shah Alloys Limited,2005-06-16
SHAILY,Shaily Engineering Plastics Limited,2022-04-04
SHAKTIPUMP,Shakti Pumps (India) Limited,2015-01-29
SHALBY,Shalby Limited,2017-12-15
SHALPAINTS,Shalimar Paints Limited,2008-03-03
SHANKARA,Shankara Building Products Limited,2017-04-05
SHANTI,Shanti Overseas (India) Limited,2021-09-16
SHANTIGEAR,Shanthi Gears Limited,1996-01-17
SHANTIGOLD,Shanti Gold International Limited,2025-08-01
SHARDACROP,Sharda Cropchem Limited,2014-09-23
SHARDAMOTR,Sharda Motor Industries Limited,2015-09-03
SHARDUL,Shardul Securities Limited,2026-04-20
SHAREINDIA,Share India Securities Limited,2020-09-21
SHBAJRG,Shri Bajrang Alliance Limited,2026-04-20
SHEKHAWATI,Shekhawati Industries Limited,2011-01-12
SHEMAROO,Shemaroo Entertainment Limited,2014-10-01
SHILCTECH,Shilchar Technologies Limited,2025-11-24
SHILPAMED,Shilpa Medicare Limited,2009-12-03
SHINDL,Sharat Industries Limited,2026-04-20
SHIVALIK,Shivalik Rasayan Limited,2021-12-09
SHIVAMAUTO,Shivam Autotech Limited,2006-11-21
SHIVAMILLS,Shiva Mills Limited,2018-02-26
SHIVATEX,Shiva Texyarn Limited,2017-12-26
SHIVAUM,Shiv Aum Steels Limited,2025-11-14
SHK,S H Kelkar and Company Limited,2015-11-16
SHOPERSTOP,Shoppers Stop Limited,2005-05-23
SHRADHA,Shradha Realty Limited,2020-10-22
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,2020-01-28
SHREECEM,SHREE CEMENT LIMITED,1995-04-26
SHREEJISPG,Shreeji Shipping Global Limited,2025-08-26
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,2015-09-10
SHREERAMA,Shree Rama Multi-Tech Limited,2000-03-13
SHRENIK,Shrenik Limited,2019-08-02
SHREYANIND,Shreyans Industries Limited,1996-11-06
SHRIKRISH,Shri Krishna Devcon Limited,2026-04-20
SHRINGARMS,Shringar House of Mangalsutra Limited,2025-09-17
SHRIPISTON,Shriram Pistons & Rings Limited,2016-06-02
SHRIRAMFIN,Shriram Finance Limited,1996-12-11
SHRIRAMPPS,Shriram Properties Limited,2021-12-20
SHYAMCENT,Shyam Century Ferrous Limited,2015-07-28
SHYAMMETL,Shyam Metalics and Energy Limited,2021-06-24
SHYAMTEL,Shyam Telecom Limited,2006-11-06
SICAGEN,Sicagen India Limited,2026-04-20
SIEMENS,Siemens Limited,1995-09-06
SIGACHI,Sigachi Industries Limited,2021-11-15
SIGIND,Signet Industries Limited,2018-08-29
SIGMA,Sigma Solve Limited,2023-06-09
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,2007-07-19
SIGNATURE,Signatureglobal (India) Limited,2023-09-27
SIGNPOST,Signpost India Limited,2024-02-14
SIKA,Sika Interplant Systems Limited,2026-04-20
SIKKO,Sikko Industries Limited,2021-10-22
SIL,Standard Industries Limited,2004-01-27
SILGO,Silgo Retail Limited,2021-03-03
SILINV,SIL Investments Limited,1996-05-22
SILLYMONKS,Silly Monks Entertainment Limited,2020-07-08
SILVERTUC,Silver Touch Technologies Limited,2022-05-12
SIMBHALS,Simbhaoli Sugars Limited,2016-03-14
SIMPLEXINF,Simplex Infrastructures Limited,2004-03-09
SINCLAIR,Sinclairs Hotels Limited,2024-04-10
SINDHUTRAD,Sindhu Trade Links Limited,2023-06-20
SINGERIND,Singer India Limited,2026-03-19
SINTERCOM,Sintercom India Limited,2020-10-07
SIRCA,Sirca Paints India Limited,2019-07-22
SIS,SIS LIMITED,2017-08-10
SITINET,Siti Networks Limited,2007-01-10
SIYSIL,Siyaram Silk Mills Limited,2007-01-29
SJS,S.J.S. Enterprises Limited,2021-11-15
SJVN,SJVN Limited,2010-05-20
SKFINDIA,SKF India Limited,1999-01-27
SKFINDUS,SKF India (Industrial) Limited,2025-12-05
SKIPPER,Skipper Limited,2015-05-27
SKMEGGPROD,SKM Egg Products Export (India) Limited,1997-03-14
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,2023-01-06
SMARTLINK,Smartlink Holdings Limited,2001-04-11
SMARTWORKS,Smartworks Coworking Spaces Limited,2025-07-17
SMCGLOBAL,SMC Global Securities Limited,2021-02-24
SMLMAH,SML Mahindra Limited,2003-08-29
SMLT,Sarthak Metals Limited,2021-11-25
SMSPHARMA,SMS Pharmaceuticals Limited,2007-02-28
SNOWMAN,Snowman Logistics Limited,2014-09-12
SOBHA,Sobha Limited,2006-12-20
SOFTTECH,Softtech Engineers Limited,2022-02-25
SOLARA,Solara Active Pharma Sciences Limited,2018-06-27
SOLARINDS,Solar Industries India Limited,2006-04-03
SOLARWORLD,Solarworld Energy Solutions Limited,2025-09-30
SOLEX,Solex Energy Limited,2025-10-08
SOMANYCERA,Somany Ceramics Limited,1995-11-22
SOMATEX,Soma Textiles & Industries Limited,1996-08-14
SOMICONVEY,Somi Conveyor Beltings Limited,2016-07-18
SONACOMS,Sona BLW Precision Forgings Limited,2021-06-24
SONAL,Sonal Mercantile Limited,2026-04-20
SONAMLTD,SONAM LIMITED,2022-04-07
SONATSOFTW,Sonata Software Limited,1999-07-28
SOTL,Savita Oil Technologies Limited,1995-06-28
SOUTHBANK,The South Indian Bank Limited,1998-12-08
SOUTHWEST,South West Pinnacle Exploration Limited,2019-04-18
SPAL,S. P. Apparels Limited,2016-08-12
SPANDANA,Spandana Sphoorty Financial Limited,2019-08-19
SPARC,Sun Pharma Advanced Research Company Limited,2007-07-18
SPCENET,Spacenet Enterprises India Limited,2017-01-10
SPECIALITY,Speciality Restaurants Limited,2012-05-30
SPECTRUM,Spectrum Electrical Industries Limited,2025-03-28
SPENCERS,Spencer's Retail Limited,2019-01-25
SPIC,Southern Petrochemicals Industries Corporation  Limited,1996-01-10
SPLIL,SPL Industries Limited,2005-07-26
SPLPETRO,Supreme Petrochem Limited,2022-05-24
SPMLINFRA,SPML Infra Limited,1996-02-14
SPORTKING,Sportking India Limited,2022-08-24
SRD,Shankar Lal Rampal Dye-Chem Limited,2024-10-09
SREEL,Sreeleathers Limited,2014-01-01
SRF,SRF Limited,2003-08-18
SRGHFL,SRG Housing Finance Limited,2023-08-21
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,2007-05-08
SRM,SRM Contractors Limited,2024-04-03
SRTL,Shree Ram Twistex Limited,2026-03-02
SSDL,Saraswati Saree Depot Limited,2024-08-20
SSWL,Steel Strips Wheels Limited,2005-06-06
STALLION,Stallion India Fluorochemicals Limited,2025-01-23
STANLEY,Stanley Lifestyles Limited,2024-06-28
STAR,Strides Pharma Science Limited,2000-02-02
STARCEMENT,Star Cement Limited,2017-06-16
STARHEALTH,Star Health and Allied Insurance Company Limited,2021-12-10
STARPAPER,Star Paper Mills Limited,1995-09-13
STARTECK,Starteck Finance Limited,2022-05-04
STCINDIA,The State Trading Corporation of India Limited,2003-04-01
STEELCAS,Steelcast Limited,2021-11-23
STEELCITY,Steel City Securities Limited,2019-06-27
STEELXIND,STEEL EXCHANGE INDIA LIMITED,2017-07-20
STEL,Stel Holdings Limited,2011-02-09
STERTOOLS,Sterling Tools Limited,2006-02-02
STLNETWORK,STL Networks Limited,2025-09-04
STLTECH,Sterlite Technologies Limited,2000-12-08
STOVEKRAFT,Stove Kraft Limited,2021-02-05
STUDDS,Studds Accessories Limited,2025-11-07
STYL,Seshaasai Technologies Limited,2025-09-30
STYLAMIND,Stylam Industries Limited,2021-08-02
STYLEBAAZA,Baazar Style Retail Limited,2024-09-06
STYRENIX,Styrenix Performance Materials Limited,1995-03-29
SUBEXLTD,Subex Limited,2020-11-05
SUBROS,Subros Limited,2005-07-13
SUDARCOLOR,Sudarshan Colorants India Limited,1995-06-14
SUDARSCHEM,Sudarshan Chemical Industries Limited,1995-05-25
SUDEEPPHRM,Sudeep Pharma Limited,2025-11-28
SUKHJITS,Sukhjit Starch & Chemicals Limited,2022-11-07
SULA,Sula Vineyards Limited,2022-12-22
SUMEET-RE,Sumeet Industries Limited-RE,2026-06-22
SUMEETINDS,Sumeet Industries Limited,2010-12-10
SUMICHEM,Sumitomo Chemical India Limited,2020-01-27
SUMIT,Sumit Woods Limited,2019-07-30
SUMMITSEC,Summit Securities Limited,2011-01-28
SUNCLAY,Sundaram Clayton Limited,2023-12-29
SUNDARAM,Sundaram Multi Pap Limited,2010-06-02
SUNDARMFIN,Sundaram Finance Limited,1998-01-07
SUNDRMBRAK,Sundaram Brake Linings Limited,1996-07-17
SUNDRMFAST,Sundram Fasteners Limited,2000-06-07
SUNDROP,Sundrop Brands Limited,2002-12-06
SUNFLAG,Sunflag Iron And Steel Company Limited,2005-09-29
SUNPHARMA,Sun Pharmaceutical Industries Limited,1995-02-08
SUNTECK,Sunteck Realty Limited,2009-11-13
SUNTV,Sun TV Network Limited,2006-04-24
SUPERHOUSE,Superhouse Limited,2014-09-26
SUPERSPIN,Super Spinning Mills Limited,2004-07-08
SUPRAJIT,Suprajit Engineering Limited,2005-02-18
SUPREME,Supreme Holdings & Hospitality (India) Limited,2025-02-03
SUPREMEENG,Supreme Engineering Limited,2020-12-04
SUPREMEIND,Supreme Industries Limited,1995-07-19
SUPREMEINF,Supreme Infrastructure India Limited,2007-10-18
SUPRIYA,Supriya Lifescience Limited,2021-12-28
SURAJEST,Suraj Estate Developers Limited,2023-12-26
SURAJLTD,Suraj Limited,2024-08-29
SURAKSHA,Suraksha Diagnostic Limited,2024-12-06
SURANASOL,Surana Solar Limited,2011-01-07
SURANAT&P,Surana Telecom and Power Limited,2002-05-22
SURYALA,Suryalata Spinning Mills Limited,2026-04-20
SURYALAXMI,Suryalakshmi Cotton Mills Limited,2005-06-15
SURYAROSNI,Surya Roshni Limited,1995-05-10
SURYODAY,Suryoday Small Finance Bank Limited,2021-03-26
