Symbol,Company Name,Industry,ListingDate
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,1997-12-17
HEG,H.E.G. Ltd.,Capital Goods,1995-05-10
HBLENGINE,HBL Engineering Ltd.,Capital Goods,2007-01-04
HCLTECH,HCL Technologies Ltd.,Information Technology,2000-01-06
HDBFS,HDB Financial Services Ltd.,Financial Services,2025-07-02
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,2018-08-06
HDFCBANK,HDFC Bank Ltd.,Financial Services,1995-11-08
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,2017-11-17
HFCL,HFCL Ltd.,Telecommunication,2011-03-09
HAVELLS,Havells India Ltd.,Consumer Durables,2001-03-21
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,2003-04-11
HEXT,Hexaware Technologies Ltd.,Information Technology,2025-02-19
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,2007-03-02
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,1997-01-08
HAL,Hindustan Aeronautics Ltd.,Capital Goods,2018-03-28
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,2010-09-15
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,1998-06-17
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,1995-07-06
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,2006-11-21
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,2020-03-30
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,2021-02-03
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,2023-11-07
HONAUT,Honeywell Automation India Ltd.,Capital Goods,2003-07-18
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,2017-05-19
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,2024-10-22
ICICIBANK,ICICI Bank Ltd.,Financial Services,1997-09-17
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,2017-09-27
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,2025-12-19
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,2016-09-29
IDBI,IDBI Bank Ltd.,Financial Services,1995-09-20
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,2015-11-06
IFCI,IFCI Ltd.,Financial Services,1995-04-26
IIFL,IIFL Finance Ltd.,Financial Services,2005-05-17
IRB,IRB Infrastructure Developers Ltd.,Construction,2008-02-25
IRCON,IRCON International Ltd.,Construction,2018-09-28
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,2025-01-29
ITC,ITC Ltd.,Fast Moving Consumer Goods,1995-08-23
ITI,ITI Ltd.,Telecommunication,2003-09-15
INDGN,Indegene Ltd.,Healthcare,2024-05-13
INDIACEM,India Cements Ltd.,Construction Materials,2000-05-31
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,2019-07-04
INDIANB,Indian Bank,Financial Services,2007-03-01
IEX,Indian Energy Exchange Ltd.,Financial Services,2017-10-23
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,1996-07-03
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,1996-07-24
IOB,Indian Overseas Bank,Financial Services,2000-12-07
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,2019-10-14
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,2021-01-29
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,2023-11-29
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,2003-12-26
INDUSTOWER,Indus Towers Ltd.,Telecommunication,2012-12-28
